Time,iL1,iL2,V3,V1,vC1,vC2
0.000355,22.2308,3.58181,0.45,0,36.7565,28.4325
0.000356,22.1961,3.6388,0.44,0,36.9787,28.5616
0.000357,22.1607,3.69606,0.43,0,37.2004,28.6894
0.000358,22.1245,3.75356,0.42,0,37.4219,28.8161
0.000359,22.0877,3.81132,0.41,0,37.6429,28.9416
0.00036,22.0502,3.86933,0.4,0,37.8636,29.0658
0.000361,22.1462,3.79354,0.39,1,37.9017,29.0078
0.000362,22.2422,3.71768,0.38,1,37.9391,28.9499
0.000363,22.3382,3.64177,0.37,1,37.9759,28.892
0.000364,22.4342,3.56578,0.36,1,38.0119,28.8343
0.000365,22.5302,3.48972,0.35,1,38.0472,28.7767
0.000366,22.6262,3.41359,0.34,1,38.0817,28.7192
0.000367,22.7222,3.3374,0.33,1,38.1155,28.6618
0.000368,22.8182,3.26113,0.32,1,38.1485,28.6045
0.000369,22.9142,3.18481,0.31,1,38.1807,28.5474
0.00037,23.0102,3.10841,0.3,1,38.2122,28.4904
0.000371,23.1062,3.03196,0.29,1,38.2429,28.4334
0.000372,23.2022,2.95544,0.28,1,38.2728,28.3766
0.000373,23.2982,2.87887,0.27,1,38.302,28.3199
0.000374,23.3942,2.80224,0.26,1,38.3304,28.2633
0.000375,23.4902,2.72555,0.25,1,38.358,28.2069
0.000376,23.5862,2.64881,0.24,1,38.3849,28.1505
0.000377,23.6822,2.57201,0.23,1,38.411,28.0943
0.000378,23.7782,2.49516,0.22,1,38.4364,28.0381
0.000379,23.8742,2.41827,0.21,1,38.4609,27.9821
0.00038,23.9702,2.34132,0.2,1,38.4847,27.9262
0.000381,24.0662,2.26433,0.19,1,38.5077,27.8704
0.000382,24.1622,2.18729,0.18,1,38.53,27.8147
0.000383,24.2582,2.11021,0.17,1,38.5515,27.7592
0.000384,24.3542,2.03309,0.16,1,38.5722,27.7037
0.000385,24.4502,1.95592,0.15,1,38.5922,27.6483
0.000386,24.5462,1.87872,0.14,1,38.6113,27.5931
0.000387,24.6422,1.80148,0.13,1,38.6297,27.538
0.000388,24.7382,1.7242,0.12,1,38.6474,27.4829
0.000389,24.8342,1.64689,0.11,1,38.6642,27.428
0.00039,24.9302,1.56955,0.1,1,38.6803,27.3732
0.000391,25.0262,1.49217,0.09,1,38.6956,27.3185
0.000392,25.1222,1.41477,0.08,1,38.7101,27.264
0.000393,25.2182,1.33733,0.07,1,38.7239,27.2095
0.000394,25.3142,1.25987,0.06,1,38.7369,27.1551
0.000395,25.4102,1.18239,0.05,1,38.7491,27.1009
0.000396,25.5062,1.10488,0.04,1,38.7605,27.0467
0.000397,25.6022,1.02735,0.03,1,38.7712,26.9927
0.000398,25.6982,0.949796,0.02,1,38.7811,26.9387
0.000399,25.7942,0.872225,0.01,1,38.7902,26.8849
0.0004,25.8902,0.794637,-3.1984e-014,1,38.7985,26.8312
0.000401,25.9862,0.717033,0.01,1,38.8061,26.7776
0.000402,26.0822,0.639415,0.02,1,38.8129,26.7241
0.000403,26.1782,0.561783,0.03,1,38.8189,26.6707
0.000404,26.2742,0.484141,0.04,1,38.8241,26.6174
0.000405,26.3702,0.406489,0.05,1,38.8285,26.5642
0.000406,26.4662,0.328828,0.06,1,38.8322,26.5112
0.000407,26.5622,0.251162,0.07,1,38.8351,26.4582
0.000408,26.6582,0.17349,0.08,1,38.8372,26.4053
0.000409,26.7542,0.0958145,0.09,1,38.8386,26.3526
0.00041,26.8502,0.0181373,0.1,1,38.8392,26.2999
0.000411,26.9462,-0.0595403,0.11,1,38.839,26.2474
0.000412,27.0422,-0.137217,0.12,1,38.838,26.1949
0.000413,27.1382,-0.21489,0.13,1,38.8362,26.1426
0.000414,27.2342,-0.29256,0.14,1,38.8337,26.0904
0.000415,27.3302,-0.370223,0.15,1,38.8304,26.0382
0.000416,27.4262,-0.447879,0.16,1,38.8263,25.9862
0.000417,27.5222,-0.525526,0.17,1,38.8214,25.9343
0.000418,27.6182,-0.603163,0.18,1,38.8158,25.8825
0.000419,27.7142,-0.680787,0.19,1,38.8093,25.8307
0.00042,27.8102,-0.758398,0.2,1,38.8021,25.7791
0.000421,27.9062,-0.835994,0.21,1,38.7942,25.7276
0.000422,28.0022,-0.913573,0.22,1,38.7854,25.6762
0.000423,28.0982,-0.991134,0.23,1,38.7759,25.6249
0.000424,28.1942,-1.06867,0.24,1,38.7656,25.5737
0.000425,28.2902,-1.14619,0.25,1,38.7545,25.5226
0.000426,28.3862,-1.22369,0.26,1,38.7427,25.4716
0.000427,28.4822,-1.30116,0.27,1,38.7301,25.4207
0.000428,28.5782,-1.37861,0.28,1,38.7167,25.37
