Time,iL1,iL2,vC1,vC2,V2,V3,V1
0.000265,11.2956,0.733887,15.6311,0.423077,0.4,0.65,0
0.000266,11.3279,0.733461,15.7442,0.429561,0.4,0.66,0
0.000267,11.3601,0.733028,15.8577,0.436028,0.4,0.67,0
0.000268,11.3922,0.732589,15.9714,0.442477,0.4,0.68,0
0.000269,11.4242,0.732143,16.0855,0.448909,0.4,0.69,0
0.00027,11.4561,0.731691,16.1999,0.455324,0.4,0.7,0
0.000271,11.4878,0.731232,16.3146,0.461722,0.4,0.71,0
0.000272,11.5194,0.730768,16.4297,0.468102,0.4,0.72,0
0.000273,11.5509,0.730296,16.545,0.474465,0.4,0.73,0
0.000274,11.5823,0.729819,16.6607,0.48081,0.4,0.74,0
0.000275,11.6136,0.729335,16.7767,0.487138,0.4,0.75,0
0.000276,11.6448,0.728844,16.893,0.493448,0.4,0.76,0
0.000277,11.6758,0.728348,17.0096,0.499741,0.4,0.77,0
0.000278,11.7068,0.727845,17.1265,0.506016,0.4,0.78,0
0.000279,11.7376,0.727336,17.2437,0.512274,0.4,0.79,0
0.00028,11.7683,0.72682,17.3612,0.518514,0.4,0.8,0
0.000281,11.7989,0.726299,17.4791,0.524736,0.4,0.81,0
0.000282,11.8293,0.725771,17.5972,0.530941,0.4,0.82,0
0.000283,11.8597,0.725237,17.7157,0.537128,0.4,0.83,0
0.000284,11.8899,0.724697,17.8344,0.543297,0.4,0.84,0
0.000285,11.92,0.72415,17.9535,0.549449,0.4,0.85,0
0.000286,11.95,0.723598,18.0728,0.555582,0.4,0.86,0
0.000287,11.9798,0.723039,18.1925,0.561698,0.4,0.87,0
0.000288,12.0096,0.722474,18.3124,0.567796,0.4,0.88,0
0.000289,12.0392,0.721903,18.4326,0.573877,0.4,0.89,0
0.00029,12.0687,0.721327,18.5532,0.579939,0.4,0.9,0
0.000291,12.0981,0.720744,18.674,0.585983,0.4,0.91,0
0.000292,12.1274,0.720155,18.7952,0.59201,0.4,0.92,0
0.000293,12.1565,0.71956,18.9166,0.598018,0.4,0.93,0
0.000294,12.1855,0.718958,19.0383,0.604009,0.4,0.94,0
0.000295,12.2144,0.718351,19.1603,0.609981,0.4,0.95,0
0.000296,12.2432,0.717739,19.2826,0.615936,0.4,0.96,0
0.000297,12.2719,0.71712,19.4051,0.621872,0.4,0.97,0
0.000298,12.3004,0.716495,19.528,0.627791,0.4,0.98,0
0.000299,12.3288,0.715864,19.6512,0.633691,0.4,0.99,0
0.0003,12.3571,0.715227,19.7746,0.639573,0.4,1,0
0.000301,12.3853,0.714585,19.8983,0.645437,0.4,0.99,0
0.000302,12.4133,0.713936,20.0223,0.651283,0.4,0.98,0
0.000303,12.4412,0.713282,20.1466,0.657111,0.4,0.97,0
0.000304,12.469,0.712622,20.2711,0.662921,0.4,0.96,0
0.000305,12.4967,0.711956,20.3959,0.668712,0.4,0.95,0
0.000306,12.5242,0.711285,20.521,0.674485,0.4,0.94,0
0.000307,12.5516,0.710607,20.6464,0.68024,0.4,0.93,0
0.000308,12.5789,0.709924,20.7721,0.685976,0.4,0.92,0
0.000309,12.6061,0.709236,20.898,0.691694,0.4,0.91,0
0.00031,12.6331,0.708541,21.0242,0.697394,0.4,0.9,0
0.000311,12.6601,0.707841,21.1507,0.703075,0.4,0.89,0
0.000312,12.6868,0.707135,21.2774,0.708738,0.4,0.88,0
0.000313,12.7135,0.706423,21.4044,0.714383,0.4,0.87,0
0.000314,12.74,0.705706,21.5317,0.720009,0.4,0.86,0
0.000315,12.7664,0.704983,21.6592,0.725617,0.4,0.85,0
0.000316,12.7927,0.704255,21.787,0.731207,0.4,0.84,0
0.000317,12.8189,0.703521,21.9151,0.736777,0.4,0.83,0
0.000318,12.8449,0.702781,22.0434,0.74233,0.4,0.82,0
0.000319,12.8708,0.702036,22.1719,0.747864,0.4,0.81,0
0.00032,12.8965,0.701285,22.3008,0.753379,0.4,0.8,0
0.000321,12.9222,0.700529,22.4299,0.758876,0.4,0.79,0
0.000322,12.9477,0.699768,22.5592,0.764354,0.4,0.78,0
0.000323,12.9731,0.699001,22.6888,0.769814,0.4,0.77,0
0.000324,12.9983,0.698228,22.8187,0.775255,0.4,0.76,0
0.000325,13.0234,0.69745,22.9488,0.780677,0.4,0.75,0
0.000326,13.0484,0.696667,23.0792,0.786081,0.4,0.74,0
0.000327,13.0733,0.695878,23.2098,0.791466,0.4,0.73,0
0.000328,13.098,0.695084,23.3406,0.796833,0.4,0.72,0
0.000329,13.1226,0.694284,23.4717,0.802181,0.4,0.71,0
0.00033,13.147,0.693479,23.6031,0.80751,0.4,0.7,0
0.000331,13.1714,0.692669,23.7347,0.81282,0.4,0.69,0
0.000332,13.1956,0.691854,23.8665,0.818112,0.4,0.68,0
0.000333,13.2196,0.691033,23.9986,0.823385,0.4,0.67,0
0.000334,13.2436,0.690207,24.1309,0.828639,0.4,0.66,0
0.000335,13.2674,0.689376,24.2634,0.833874,0.4,0.65,0
0.000336,13.291,0.688539,24.3962,0.839091,0.4,0.64,0
0.000337,13.3146,0.687698,24.5293,0.844289,0.4,0.63,0
0.000338,13.338,0.686851,24.6625,0.849468,0.4,0.62,0
0.000339,13.3613,0.685999,24.796,0.854628,0.4,0.61,0
