Time,iL,v
0.000544,12.8738,-23.2523
0.000545,12.8272,-23.3342
0.000546,12.7804,-23.4155
0.000547,12.7335,-23.4962
0.000548,12.6864,-23.5762
0.000549,12.6392,-23.6556
0.00055,12.5918,-23.7343
0.000551,12.5443,-23.8125
0.000552,12.4966,-23.89
0.000553,12.4487,-23.9668
0.000554,12.4007,-24.0431
0.000555,12.3525,-24.1187
0.000556,12.3042,-24.1937
0.000557,12.2558,-24.268
0.000558,12.2072,-24.3417
0.000559,12.1584,-24.4148
0.00056,12.1095,-24.4872
0.000561,12.2055,-24.4383
0.000562,12.3015,-24.3895
0.000563,12.3975,-24.3408
0.000564,12.4935,-24.2921
0.000565,12.5895,-24.2436
0.000566,12.6855,-24.1952
0.000567,12.7815,-24.1468
0.000568,12.8775,-24.0986
0.000569,12.9735,-24.0504
0.00057,13.0695,-24.0024
0.000571,13.1655,-23.9544
0.000572,13.2615,-23.9066
0.000573,13.3575,-23.8588
0.000574,13.4535,-23.8111
0.000575,13.5495,-23.7636
0.000576,13.6455,-23.7161
0.000577,13.7415,-23.6687
0.000578,13.8375,-23.6214
0.000579,13.9335,-23.5742
0.00058,14.0295,-23.5271
0.000581,14.1255,-23.4801
0.000582,14.2215,-23.4332
0.000583,14.3175,-23.3864
0.000584,14.4135,-23.3396
0.000585,14.5095,-23.293
0.000586,14.6055,-23.2465
0.000587,14.7015,-23.2
0.000588,14.7975,-23.1537
0.000589,14.8935,-23.1074
0.00059,14.9895,-23.0612
0.000591,15.0855,-23.0152
0.000592,15.1815,-22.9692
0.000593,15.2775,-22.9233
0.000594,15.3735,-22.8775
0.000595,15.4695,-22.8318
0.000596,15.5655,-22.7862
0.000597,15.6615,-22.7406
0.000598,15.7575,-22.6952
0.000599,15.8535,-22.6498
0.0006,15.9495,-22.6046
0.000601,16.0455,-22.5594
0.000602,16.1415,-22.5144
0.000603,16.2375,-22.4694
0.000604,16.3335,-22.4245
0.000605,16.4295,-22.3797
0.000606,16.5255,-22.335
0.000607,16.6215,-22.2903
0.000608,16.7175,-22.2458
0.000609,16.8135,-22.2013
0.00061,16.9095,-22.157
0.000611,17.0055,-22.1127
0.000612,17.1015,-22.0685
0.000613,17.1975,-22.0244
0.000614,17.2935,-21.9804
0.000615,17.3895,-21.9365
0.000616,17.4855,-21.8927
0.000617,17.5815,-21.8489
0.000618,17.6775,-21.8053
0.000619,17.7735,-21.7617
0.00062,17.8695,-21.7182
0.000621,17.9655,-21.6749
0.000622,18.0615,-21.6315
0.000623,18.1575,-21.5883
0.000624,18.2535,-21.5452
0.000625,18.3495,-21.5021
0.000626,18.4455,-21.4592
0.000627,18.5415,-21.4163
0.000628,18.6375,-21.3735
0.000629,18.7335,-21.3308
0.00063,18.8295,-21.2882
0.000631,18.9255,-21.2457
0.000632,19.0215,-21.2032
0.000633,19.1175,-21.1608
0.000634,19.2135,-21.1186
0.000635,19.3095,-21.0764
0.000636,19.4055,-21.0343
0.000637,19.5015,-20.9922
0.000638,19.5975,-20.9503
0.000639,19.6935,-20.9084
0.00064,19.7895,-20.8667
0.000641,19.7475,-21.0223
0.000642,19.7052,-21.1772
0.000643,19.6627,-21.3315
0.000644,19.6199,-21.4851
0.000645,19.5768,-21.6379
0.000646,19.5334,-21.7901
0.000647,19.4896,-21.9414
0.000648,19.4456,-22.0921
0.000649,19.4013,-22.242
0.00065,19.3566,-22.3911
0.000651,19.3117,-22.5396
0.000652,19.2665,-22.6872
0.000653,19.2209,-22.8341
0.000654,19.1751,-22.9803
0.000655,19.129,-23.1257
0.000656,19.0826,-23.2704
0.000657,19.0359,-23.4143
0.000658,18.989,-23.5574
0.000659,18.9417,-23.6998
0.00066,18.8942,-23.8415
0.000661,18.8463,-23.9824
0.000662,18.7982,-24.1225
