Time,iL,v,V1,V2
0.000686,3.54989,7.96104,1,0
0.000687,3.54481,7.98058,1,0
0.000688,3.53982,8.00002,1,0
0.000689,3.5349,8.01937,1,0
0.00069,3.53006,8.03864,1,0
0.000691,3.5253,8.05782,1,0
0.000692,3.52062,8.07692,1,0
0.000693,3.516,8.09593,1,0
0.000694,3.51146,8.11485,1,0
0.000695,3.50699,8.1337,1,0
0.000696,3.50259,8.15246,1,0
0.000697,3.49826,8.17114,1,0
0.000698,3.49399,8.18974,1,0
0.000699,3.48979,8.20826,1,0
0.0007,3.48565,8.2267,1,0
0.000701,3.48157,8.24507,1,0
0.000702,3.47755,8.26335,1,0
0.000703,3.47359,8.28156,1,0
0.000704,3.46969,8.2997,1,0
0.000705,3.46585,8.31776,1,0
0.000706,3.46206,8.33575,1,0
0.000707,3.45832,8.35366,1,0
0.000708,3.45464,8.3715,1,0
0.000709,3.45102,8.38927,1,0
0.00071,3.44744,8.40696,1,0
0.000711,3.44391,8.42459,1,0
0.000712,3.44043,8.44214,1,0
0.000713,3.437,8.45963,1,0
0.000714,3.43362,8.47704,1,0
0.000715,3.43028,8.49439,1,0
0.000716,3.42698,8.51167,1,0
0.000717,3.42373,8.52888,1,0
0.000718,3.42053,8.54603,1,0
0.000719,3.41736,8.56311,1,0
0.00072,3.41424,8.58013,1,0
0.000721,3.41116,8.59708,1,0
0.000722,3.40812,8.61396,1,0
0.000723,3.40511,8.63078,1,0
0.000724,3.40215,8.64754,1,0
0.000725,3.39922,8.66424,1,0
0.000726,3.39633,8.68087,1,0
0.000727,3.39347,8.69744,1,0
0.000728,3.39065,8.71395,1,0
0.000729,3.38786,8.7304,1,0
0.00073,3.38511,8.74678,1,0
0.000731,3.38239,8.76311,1,0
