Time,I(Le),I(L),Vc
0.000344,23.1144,1.05232,124.929
0.000345,23.0574,1.10156,125.369
0.000346,22.9998,1.15098,125.808
0.000347,22.9415,1.20058,126.243
0.000348,22.8825,1.25037,126.677
0.000349,22.8229,1.30034,127.109
0.00035,22.7626,1.35048,127.538
0.000351,22.7017,1.4008,127.965
0.000352,22.6401,1.4513,128.39
0.000353,22.5778,1.50198,128.813
0.000354,22.5149,1.55283,129.233
0.000355,22.4514,1.60385,129.651
0.000356,22.3872,1.65505,130.067
0.000357,22.3224,1.70641,130.48
0.000358,22.257,1.75794,130.892
0.000359,22.191,1.80964,131.3
0.00036,22.1243,1.86151,131.707
0.000361,22.057,1.91354,132.111
0.000362,21.9891,1.96573,132.513
0.000363,21.9206,2.01809,132.912
0.000364,21.8515,2.07061,133.309
0.000365,21.7818,2.12328,133.703
0.000366,21.7116,2.17612,134.095
0.000367,21.6407,2.22911,134.484
0.000368,21.5692,2.28226,134.871
0.000369,21.4972,2.33556,135.256
0.00037,21.4246,2.38901,135.638
0.000371,21.3515,2.44261,136.017
0.000372,21.2777,2.49636,136.394
0.000373,21.2034,2.55026,136.769
0.000374,21.1286,2.60431,137.14
0.000375,21.0532,2.6585,137.51
0.000376,20.9773,2.71284,137.876
0.000377,20.9008,2.76732,138.24
0.000378,20.8238,2.82194,138.602
0.000379,20.7462,2.8767,138.96
0.00038,20.6682,2.9316,139.316
0.000381,20.5896,2.98663,139.67
0.000382,20.5105,3.0418,140.02
0.000383,20.4309,3.0971,140.368
0.000384,20.3507,3.15254,140.714
0.000385,20.2701,3.2081,141.056
0.000386,20.189,3.2638,141.396
0.000387,20.1074,3.31962,141.733
0.000388,20.0253,3.37557,142.068
0.000389,19.9427,3.43164,142.399
0.00039,19.8597,3.48784,142.728
0.000391,19.7761,3.54415,143.054
0.000392,19.6922,3.60059,143.377
0.000393,19.6077,3.65715,143.698
0.000394,19.5228,3.71382,144.015
0.000395,19.4374,3.77061,144.33
0.000396,19.3516,3.82751,144.642
0.000397,19.2654,3.88453,144.951
0.000398,19.1787,3.94166,145.257
0.000399,19.0916,3.99889,145.561
0.0004,19.004,4.05624,145.861
0.000401,18.9161,4.11369,146.159
0.000402,18.8277,4.17124,146.453
0.000403,18.7389,4.2289,146.745
0.000404,18.6497,4.28666,147.034
0.000405,18.5601,4.34452,147.319
0.000406,18.4701,4.40247,147.602
0.000407,18.3798,4.46053,147.882
0.000408,18.289,4.51868,148.159
0.000409,18.1979,4.57692,148.433
0.00041,18.1063,4.63526,148.704
0.000411,18.0145,4.69368,148.972
0.000412,17.9222,4.7522,149.237
0.000413,17.8296,4.8108,149.498
0.000414,17.7367,4.86949,149.757
0.000415,17.6434,4.92826,150.013
0.000416,17.5497,4.98712,150.266
0.000417,17.4557,5.04605,150.516
0.000418,17.3614,5.10507,150.762
0.000419,17.2668,5.16416,151.006
0.00042,17.1718,5.22333,151.246
0.000421,17.0766,5.28257,151.484
0.000422,16.981,5.34189,151.718
0.000423,16.8851,5.40128,151.949
0.000424,16.7889,5.46073,152.178
0.000425,16.6924,5.52026,152.403
0.000426,16.5956,5.57985,152.624
0.000427,16.4986,5.6395,152.843
0.000428,16.4013,5.69922,153.059
0.000429,16.3037,5.759,153.271
0.00043,16.2058,5.81884,153.481
0.000431,16.1077,5.87874,153.687
0.000432,16.0093,5.9387,153.89
0.000433,15.9107,5.99871,154.09
0.000434,15.8118,6.05877,154.286
0.000435,15.7127,6.11888,154.48
0.000436,15.6133,6.17905,154.67
0.000437,15.5137,6.23926,154.857
0.000438,15.4139,6.29952,155.041
0.000439,15.3139,6.35982,155.222
0.00044,15.2137,6.42017,155.399
0.000441,15.1132,6.48056,155.573
0.000442,15.0126,6.54099,155.744
0.000443,14.9118,6.60146,155.912
0.000444,14.8108,6.66196,156.077
0.000445,14.7096,6.7225,156.238
0.000446,14.6082,6.78307,156.396
0.000447,14.5066,6.84368,156.551
0.000448,14.4049,6.90431,156.703
0.000449,14.303,6.96497,156.851
0.00045,14.201,7.02566,156.996
0.000451,14.0988,7.08638,157.138
0.000452,13.9964,7.14712,157.277
0.000453,13.894,7.20788,157.412
0.000454,13.7913,7.26866,157.544
0.000455,13.6886,7.32946,157.673
0.000456,13.5857,7.39027,157.799
0.000457,13.4828,7.4511,157.921
0.000458,13.3797,7.51195,158.04
0.000459,13.2765,7.5728,158.156
0.00046,13.1732,7.63367,158.268
0.000461,13.0698,7.69455,158.377
0.000462,12.9663,7.75543,158.483
0.000463,12.8627,7.81631,158.586
0.000464,12.759,7.87721,158.685
0.000465,12.6553,7.9381,158.781
0.000466,12.5515,7.99899,158.874
0.000467,12.4477,8.05988,158.963
0.000468,12.3438,8.12077,159.049
0.000469,12.2398,8.18165,159.132
0.00047,12.1358,8.24253,159.211
0.000471,12.0288,8.22342,159.452
0.000472,11.9214,8.20431,159.691
0.000473,11.8138,8.18521,159.929
0.000474,11.7059,8.16613,160.164
0.000475,11.5977,8.14705,160.397
0.000476,11.4891,8.12798,160.628
0.000477,11.3803,8.10892,160.857
0.000478,11.2711,8.08987,161.083
0.000479,11.1616,8.07083,161.307
0.00048,11.0519,8.0518,161.53
0.000481,10.9418,8.03278,161.749
0.000482,10.8314,8.01377,161.967
0.000483,10.7208,7.99476,162.183
0.000484,10.6099,7.97577,162.396
0.000485,10.4987,7.95679,162.607
0.000486,10.3872,7.93782,162.816
0.000487,10.2754,7.91885,163.023
0.000488,10.1634,7.8999,163.227
0.000489,10.0511,7.88095,163.429
0.00049,9.93858,7.86202,163.629
0.000491,9.82578,7.84309,163.827
0.000492,9.71273,7.82417,164.022
0.000493,9.59943,7.80526,164.215
0.000494,9.48588,7.78637,164.406
0.000495,9.37209,7.76748,164.595
0.000496,9.25807,7.7486,164.781
0.000497,9.14381,7.72973,164.965
0.000498,9.02933,7.71087,165.147
0.000499,8.91462,7.69202,165.326
0.0005,8.79969,7.67318,165.503
0.000501,8.68455,7.65435,165.678
0.000502,8.56919,7.63552,165.851
0.000503,8.45362,7.61671,166.021
0.000504,8.33785,7.59791,166.189
0.000505,8.22188,7.57911,166.354
0.000506,8.10571,7.56033,166.518
0.000507,7.98934,7.54155,166.679
0.000508,7.87279,7.52279,166.837
0.000509,7.75606,7.50403,166.994
0.00051,7.63914,7.48528,167.147
0.000511,7.52205,7.46654,167.299
0.000512,7.40479,7.44781,167.448
0.000513,7.28735,7.4291,167.595
0.000514,7.16975,7.41039,167.74
0.000515,7.05199,7.39168,167.882
0.000516,6.93408,7.37299,168.022
0.000517,6.81601,7.35431,168.159
0.000518,6.6978,7.33564,168.295
0.000519,6.57943,7.31698,168.427
0.00052,6.46093,7.29832,168.558
0.000521,6.3423,7.27968,168.686
0.000522,6.22353,7.26104,168.811
0.000523,6.10463,7.24242,168.935
0.000524,5.98561,7.2238,169.056
0.000525,5.86646,7.20519,169.174
0.000526,5.74721,7.18659,169.29
0.000527,5.62784,7.16801,169.404
0.000528,5.50836,7.14943,169.515
0.000529,5.38878,7.13086,169.624
0.00053,5.26909,7.1123,169.731
0.000531,5.15131,7.17853,169.722
0.000532,5.03365,7.24471,169.709
0.000533,4.91609,7.31084,169.693
0.000534,4.79865,7.37692,169.674
0.000535,4.68135,7.44293,169.651
0.000536,4.56419,7.50887,169.624
0.000537,4.44718,7.57476,169.594
0.000538,4.33032,7.64057,169.56
0.000539,4.21362,7.70632,169.522
0.00054,4.09709,7.77199,169.481
0.000541,3.98073,7.83759,169.436
0.000542,3.86454,7.90312,169.388
0.000543,3.74854,7.96857,169.335
0.000544,3.63273,8.03395,169.28
0.000545,3.51711,8.09924,169.22
0.000546,3.4017,8.16445,169.157
0.000547,3.28649,8.22958,169.09
0.000548,3.17149,8.29463,169.02
0.000549,3.05672,8.35959,168.946
0.00055,2.94216,8.42446,168.868
0.000551,2.82784,8.48924,168.787
0.000552,2.71376,8.55392,168.702
0.000553,2.59991,8.61852,168.614
0.000554,2.48632,8.68302,168.522
0.000555,2.37297,8.74742,168.427
