Time,I(L1),Vout
0.000743,-1.81478,28.5284
0.000744,-1.85375,28.5037
0.000745,-1.89277,28.481
0.000746,-1.93182,28.46
0.000747,-1.97092,28.441
0.000748,-2.01006,28.4237
0.000749,-2.04923,28.4084
0.00075,-2.08842,28.3948
0.000751,-2.12765,28.3831
0.000752,-2.16689,28.3732
0.000753,-2.20615,28.3651
0.000754,-2.24543,28.3589
0.000755,-2.14943,28.2518
0.000756,-2.05343,28.1451
0.000757,-1.95743,28.0386
0.000758,-1.86143,27.9326
0.000759,-1.76543,27.827
0.00076,-1.66943,27.7218
0.000761,-1.71002,27.6942
0.000762,-1.75067,27.6685
0.000763,-1.79136,27.6442
0.000764,-1.8321,27.6219
0.000765,-1.87287,27.6015
0.000766,-1.91369,27.583
0.000767,-1.95454,27.5665
0.000768,-1.99542,27.5519
0.000769,-2.03633,27.5392
0.00077,-2.07726,27.5284
0.000771,-2.11821,27.5195
0.000772,-2.15918,27.5124
0.000773,-2.20016,27.5073
0.000774,-2.24115,27.5041
0.000775,-2.14515,27.4002
0.000776,-2.04915,27.2967
0.000777,-1.95315,27.1935
0.000778,-1.85715,27.0907
0.000779,-1.76115,26.9883
0.00078,-1.66515,26.8862
0.000781,-1.70741,26.8616
0.000782,-1.74972,26.8389
0.000783,-1.79207,26.8178
0.000784,-1.83445,26.7987
0.000785,-1.87687,26.7816
0.000786,-1.91932,26.7664
0.000787,-1.9618,26.7533
0.000788,-2.00431,26.7421
0.000789,-2.04683,26.7329
0.00079,-2.08937,26.7256
0.000791,-2.13193,26.7204
0.000792,-2.17449,26.717
0.000793,-2.21706,26.7156
0.000794,-2.25963,26.7162
0.000795,-2.16363,26.6153
0.000796,-2.06763,26.5147
0.000797,-1.97162,26.4145
0.000798,-1.87562,26.3146
0.000799,-1.77962,26.2151
0.0008,-1.68362,26.116
0.000801,-1.72742,26.0952
0.000802,-1.77126,26.0764
0.000803,-1.81513,26.0592
0.000804,-1.85902,26.044
0.000805,-1.90295,26.0309
0.000806,-1.9469,26.0198
0.000807,-1.99087,26.0107
0.000808,-2.03485,26.0037
0.000809,-2.07885,25.9987
0.00081,-2.12286,25.9957
0.000811,-2.16686,25.9948
0.000812,-2.21087,25.9958
0.000813,-2.25488,25.9988
0.000814,-2.29888,26.0038
0.000815,-2.20288,25.9056
0.000816,-2.10688,25.8078
0.000817,-2.01088,25.7102
0.000818,-1.91488,25.613
0.000819,-1.81888,25.5161
0.00082,-1.72288,25.4197
0.000821,-1.76806,25.4033
0.000822,-1.81328,25.389
0.000823,-1.85851,25.3763
0.000824,-1.90377,25.3657
0.000825,-1.94905,25.3572
0.000826,-1.99434,25.3508
0.000827,-2.03964,25.3465
0.000828,-2.08495,25.3442
0.000829,-2.13026,25.344
0.00083,-2.17557,25.3459
0.000831,-2.22088,25.3498
0.000832,-2.26617,25.3557
0.000833,-2.31145,25.3637
0.000834,-2.35671,25.3737
0.000835,-2.26071,25.2778
0.000836,-2.16471,25.1824
0.000837,-2.06871,25.0872
0.000838,-1.97271,24.9923
0.000839,-1.87671,24.8978
0.00084,-1.78071,24.8037
0.000841,-1.82712,24.7923
0.000842,-1.87355,24.783
0.000843,-1.91999,24.7754
0.000844,-1.96645,24.7699
0.000845,-2.01291,24.7665
0.000846,-2.05938,24.7653
0.000847,-2.10585,24.7661
0.000848,-2.15231,24.7691
0.000849,-2.19877,24.7741
0.00085,-2.24521,24.7813
0.000851,-2.29164,24.7905
0.000852,-2.33805,24.8018
0.000853,-2.38443,24.8152
0.000854,-2.43079,24.8306
0.000855,-2.33479,24.7368
0.000856,-2.23879,24.6433
0.000857,-2.14279,24.5502
0.000858,-2.04679,24.4574
0.000859,-1.95079,24.3649
0.00086,-1.85479,24.2728
0.000861,-1.90225,24.2668
0.000862,-1.94972,24.263
0.000863,-1.9972,24.2608
0.000864,-2.04468,24.2607
0.000865,-2.09215,24.2628
0.000866,-2.13962,24.2671
